candidate_id,name,slug,domain,source,source_url,source_id,type_guess,status_guess,hei_existing_check,decision,notes,generated_at
hei_unadded_0337,CCXCanada,ccxcanada,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,ccxcanada,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0338,Cellana,cellana,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cellana,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0339,Cellana Finance,cellana-finance,cellana.finance,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=2,cellana-finance,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=483,2026-06-11T02:37:49.704Z
hei_unadded_0340,Cellana Finance,cellana-finance,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,cellana-finance,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Aptos,2026-06-11T02:37:49.704Z
hei_unadded_0341,Centex,centex,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,centex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0342,Cetus CLMM,cetus-clmm,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,cetus-clmm,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Aptos|Sui,2026-06-11T02:37:49.704Z
hei_unadded_0343,Cetus DLMM,cetus-dlmm,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,cetus-dlmm,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Sui,2026-06-11T02:37:49.704Z
hei_unadded_0344,CEX,cex,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0345,Cex-Trade,cex-trade,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cex-trade,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0346,CEX.IO Broker,cexio-broker,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cexio-broker,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0347,Cexius,cexius,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cexius,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0348,Cexland,cexland,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cexland,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0349,CexZ,cexz,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cexz,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0350,CGCX,cgcx,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,cgcx,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0351,Chaince,chaince,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,chaince,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0352,ChainEX,chainex,chainex.io,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=1,chainex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=151,2026-06-11T02:37:49.704Z
hei_unadded_0353,Chainflip,chainflip,swap.chainflip.io,coingecko_exchanges,https://api.coingecko.com/api/v3/exchanges?per_page=250&page=1,chainflip,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinGecko trust_score_rank=223,2026-06-11T02:37:49.704Z
hei_unadded_0354,Chainflip AMM,chainflip-amm,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,chainflip-amm,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Chainflip,2026-06-11T02:37:49.704Z
hei_unadded_0355,Chainge Finance,chainge-finance,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,chainge-finance,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=Fusion,2026-06-11T02:37:49.704Z
hei_unadded_0356,ChainRift,chainrift,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,chainrift,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0357,ChainX,chainx,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,chainx,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0358,Chamber Ex,chamber-ex,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,chamber-ex,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
hei_unadded_0359,ChampagneSwap,champagneswap,,defillama_dexs,https://api.llama.fi/overview/dexs?excludeTotalDataChart=true&excludeTotalDataChartBreakdown=true&dataType=dailyVolume,champagneswap,dex_or_protocol,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,DefiLlama category=Dexs; chains=BSC,2026-06-11T02:37:49.704Z
hei_unadded_0360,Changelly PRO,changelly-pro,,coinpaprika_exchanges,https://api.coinpaprika.com/v1/exchanges,changelly-pro,cex_or_exchange_like,active_or_unknown,not_found_by_name_slug_domain_in_repo_data,candidate_needs_evidence_review,CoinPaprika rank=; active=true,2026-06-11T02:37:49.704Z
